2026-06-25 12:18:55 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:18:55 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:18:55 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 12:18:55 +02:00:    Poll Interval: 60000ms
2026-06-25 12:18:55 +02:00: ---
2026-06-25 12:18:55 +02:00: [2026-06-25T10:18:55.435Z] Polling Dialfire...
2026-06-25 12:19:55 +02:00: [2026-06-25T10:19:55.536Z] Polling Dialfire...
2026-06-25 12:20:55 +02:00: [2026-06-25T10:20:55.537Z] Polling Dialfire...
2026-06-25 12:21:55 +02:00: [2026-06-25T10:21:55.537Z] Polling Dialfire...
2026-06-25 12:22:55 +02:00: [2026-06-25T10:22:55.540Z] Polling Dialfire...
2026-06-25 12:23:55 +02:00: [2026-06-25T10:23:55.540Z] Polling Dialfire...
2026-06-25 12:24:55 +02:00: [2026-06-25T10:24:55.541Z] Polling Dialfire...
2026-06-25 12:25:37 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:25:37 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:25:37 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 12:25:37 +02:00:    Poll Interval: 60000ms
2026-06-25 12:25:37 +02:00: ---
2026-06-25 12:25:37 +02:00: [2026-06-25T10:25:37.896Z] Polling Dialfire...
2026-06-25 12:26:38 +02:00: [2026-06-25T10:26:37.995Z] Polling Dialfire...
2026-06-25 12:27:38 +02:00: [2026-06-25T10:27:37.996Z] Polling Dialfire...
2026-06-25 12:28:37 +02:00: [2026-06-25T10:28:37.997Z] Polling Dialfire...
2026-06-25 12:29:38 +02:00: [2026-06-25T10:29:37.998Z] Polling Dialfire...
2026-06-25 12:30:38 +02:00: [2026-06-25T10:30:38.001Z] Polling Dialfire...
2026-06-25 12:31:35 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:31:35 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:31:35 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 12:31:35 +02:00:    Poll Interval: 60000ms
2026-06-25 12:31:35 +02:00: ---
2026-06-25 12:31:35 +02:00: [2026-06-25T10:31:35.913Z] Polling Dialfire...
